Year,SERIES,REF_AREA,SEX,URBANISATION,GeoCode,Value
2017,_L_RW_010301_1,,,,,6.5
2018,_L_RW_010301_1,,,,,6.5
2022,_L_RW_010301_1,,,,,11.0
2017,_L_RW_010301_2,,,,,484435.0
2018,_L_RW_010301_2,,,,,560769.0
2020,_L_RW_010301_2,,,,,610263.0
2022,_L_RW_010301_2,,,,,705713.0
2017,_L_RW_010301_3,,,,,376836.0
2018,_L_RW_010301_3,,,,,432450.0
2019,_L_RW_010301_3,,,,,532297.0
2020,_L_RW_010301_3,,,,,579623.0
2021,_L_RW_010301_3,,,,,554048.0
2022,_L_RW_010301_3,,,,,608436.0
2017,_L_RW_010301_4,,,,,84.2
2018,_L_RW_010301_4,,,,,83.3
2019,_L_RW_010301_4,,,,,80.0
2022,_L_RW_010301_4,,,,,93.0
2017,_L_RW_010301_5,,,,,70.0
2018,_L_RW_010301_5,,,,,73.9
2020,_L_RW_010301_5,,,,,86.0
2022,_L_RW_010301_5,,,,,97.3
2017,_L_RW_010301_5,,,U,,73.8
2018,_L_RW_010301_5,,,U,,79.5
2020,_L_RW_010301_5,,,U,,87.2
2022,_L_RW_010301_5,,,U,,96.7
2017,_L_RW_010301_5,,,R,,69.2
2018,_L_RW_010301_5,,,R,,72.7
2020,_L_RW_010301_5,,,R,,85.6
2022,_L_RW_010301_5,,,R,,97.5
2017,_L_RW_010301_5,,M,,,69.4
2018,_L_RW_010301_5,,M,,,73.4
2020,_L_RW_010301_5,,M,,,83.0
2022,_L_RW_010301_5,,M,,,97.1
2017,_L_RW_010301_5,,F,,,70.5
2018,_L_RW_010301_5,,F,,,74.5
2020,_L_RW_010301_5,,F,,,83.3
2022,_L_RW_010301_5,,F,,,97.5
2018,_L_RW_010301_6,,,,,164601.0
2020,_L_RW_010301_6,,,,,227152.0
2022,_L_RW_010301_6,,,,,233982.0
