Year,COMMENT_OBS,Series,Value
2014,Mean time to Food market,_L_RW_010401_1,51.6
2017,Mean time to Food market,_L_RW_010401_1,50.0
2020,Mean time to Food market,_L_RW_010401_1,47.4
2014,Mean time to Primary School,_L_RW_010401_2,25.6
2017,Mean time to Primary School,_L_RW_010401_2,25.4
2020,Mean time to Primary School,_L_RW_010401_2,22.7
2014,Mean time to Secondary,_L_RW_010401_3,38.3
2017,Mean time to Secondary,_L_RW_010401_3,44.4
2020,Mean time to Secondary,_L_RW_010401_3,49.3
2014,Mean time to Health center,_L_RW_010401_4,56.9
2017,Mean time to Health center,_L_RW_010401_4,49.9
2020,Mean time to Health center,_L_RW_010401_4,47.3
