Year,REF_AREA,Value
2009,,28.0
2019,,30.4
2009,23,48.0
2019,23,55.0
2009,36,48.0
2019,36,53.0
2009,25,45.0
2019,25,50.0
2009,37,44.0
2019,37,48.0
2009,54,52.0
2019,54,45.0
2009,53,43.0
2019,53,43.0
2009,43,30.0
2019,43,36.0
2009,52,41.0
2019,52,35.0
2009,32,20.0
2019,32,30.0
2009,31,26.0
2019,31,30.0
2009,34,22.0
2019,34,28.0
2009,45,20.0
2019,45,28.0
2009,27,21.0
2019,27,26.0
2009,41,21.0
2019,41,26.0
2009,42,21.0
2019,42,25.0
2009,24,20.0
2019,24,25.0
2009,35,17.0
2019,35,22.0
2009,11,20.0
2019,11,21.0
2009,44,14.0
2019,44,20.0
2009,12,17.0
2019,12,20.0
2009,33,10.0
2019,33,18.0
2009,57,17.0
2019,57,18.0
2009,55,21.0
2019,55,17.0
2009,26,11.0
2019,26,14.0
2009,28,12.0
2019,28,14.0
2009,51,8.0
2019,51,14.0
2009,21,11.0
2019,21,13.0
2009,22,12.0
2019,22,13.0
2009,56,8.0
2019,56,12.0
2009,13,9.0
2019,13,9.0
