Year,COMMENT_OBS,Series,Units,Value
2016,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.4
2017,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,4.0
2018,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.2
2019,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.3
2020,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.5
2021,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.6
2022,"Number of victims of intentional homicide per 100,000 population",VC_IHR_PSRC,PER_100000_POP,3.0
2016,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,392.0
2017,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,470.0
2018,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,285.0
2019,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,404.0
2020,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,442.0
2021,Number of victims of intentional homicide,VC_IHR_PSRCN,NUMBER,472.0
