Year,Series,Units,Value
2016,CL_SERIES.VC_VAW_DIST,CL_UNIT_MEASURE.PT,0.57
2017,CL_SERIES.VC_VAW_DIST,CL_UNIT_MEASURE.PT,0.47
2018,CL_SERIES.VC_VAW_DIST,CL_UNIT_MEASURE.PT,0.74
2019,CL_SERIES.VC_VAW_DIST,CL_UNIT_MEASURE.PT,0.51
2020,CL_SERIES.VC_VAW_DIST,CL_UNIT_MEASURE.PT,0.72
2016,CL_SERIES.VC_HTF_DETV,CL_UNIT_MEASURE.NUMBER,66.0
2017,CL_SERIES.VC_HTF_DETV,CL_UNIT_MEASURE.NUMBER,55.0
2018,CL_SERIES.VC_HTF_DETV,CL_UNIT_MEASURE.NUMBER,89.0
2019,CL_SERIES.VC_HTF_DETV,CL_UNIT_MEASURE.NUMBER,63.0
2020,CL_SERIES.VC_HTF_DETV,CL_UNIT_MEASURE.NUMBER,91.0
