Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2005,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,,PER_1000_LIVE_BIRTHS,,37
2008,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,,PER_1000_LIVE_BIRTHS,,28
2010,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,,PER_1000_LIVE_BIRTHS,,27
2015,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,,PER_1000_LIVE_BIRTHS,,20
2020,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,,PER_1000_LIVE_BIRTHS,,19
2015,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,U,PER_1000_LIVE_BIRTHS,,15
2020,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,U,PER_1000_LIVE_BIRTHS,,15
2015,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,R,PER_1000_LIVE_BIRTHS,,24
2020,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,,M0,R,PER_1000_LIVE_BIRTHS,,20
2015,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,M,M0,,PER_1000_LIVE_BIRTHS,,25
2020,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,M,M0,,PER_1000_LIVE_BIRTHS,,21
2015,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,F,M0,,PER_1000_LIVE_BIRTHS,,20
2020,Neonatal mortality rate,"DHS, NISR",SH_DYN_NMRT,,F,M0,,PER_1000_LIVE_BIRTHS,,17
