Year,COMMENT_OBS,Series,SEX,AGE,Value
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,75.0
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,80.0
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,90.0
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,93.0
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,97.0
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,98.0
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,,M12T23,99.0
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,M,M12T23,98.7
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),SH_ACS_DTP3,F,M12T23,99.3
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),SH_ACS_MCV2,,,92.0
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),SH_ACS_MCV2,,,92.0
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),SH_ACS_MCV2,,,93.8
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),SH_ACS_MCV2,M,,93.1
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),SH_ACS_MCV2,F,,94.5
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),SH_ACS_PCV3,,,97.0
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),SH_ACS_PCV3,,,98.0
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),SH_ACS_PCV3,,,98.8
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),SH_ACS_PCV3,M,,98.5
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),SH_ACS_PCV3,F,,99.2
