Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_01,PT,,25
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_01,PT,,25
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_02,PT,,16
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_02,PT,,26
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_02,PT,,10
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_02,PT,,73
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_03,PT,,80
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_03,PT,,85
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_03,PT,,90
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_03,PT,,80
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_04,PT,,72
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_04,PT,,71
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_04,PT,,70
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_04,PT,,94
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_05,PT,,8
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_05,PT,,26
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_05,PT,,26
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_05,PT,,70
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_06,PT,,57
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_06,PT,,71
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_06,PT,,71
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_06,PT,,43
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_07,PT,,40
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_07,PT,,40
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_07,PT,,60
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_07,PT,,60
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_08,PT,,96
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_08,PT,,100
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_08,PT,,96
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_08,PT,,96
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_09,PT,,3
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_09,PT,,3
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_09,PT,,6
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_09,PT,,66
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_10,PT,,44
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_10,PT,,44
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_10,PT,,56
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_10,PT,,100
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_11,PT,,33
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_11,PT,,27
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_11,PT,,27
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_11,PT,,60
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_12,PT,,8
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_12,PT,,8
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_12,PT,,8
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_12,PT,,54
2013,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_13,PT,,0
2014,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_13,PT,,8
2015,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_13,PT,,8
2017,A,0,_X,"International Health Regulations (IHR) capacity, by type of IHR capacity",A,N,SH_IHR_CAPS,,IHR_13,PT,,38
