Year,Series,concept.SEX,concept.EDUCATION_LEV,Value
2014,CL_SERIES._L_RW_040101_1,,CL_EDUCATION_LEV.ISCED11A_0_G23,45.3
2014,CL_SERIES._L_RW_040101_2,,CL_EDUCATION_LEV.ISCED11A_0_G23,32.9
2018,CL_SERIES._L_RW_040101_3,,CL_EDUCATION_LEV.ISCED11A_0_G23,54.9
2018,CL_SERIES._L_RW_040101_3,CL_SEX.M,CL_EDUCATION_LEV.ISCED11A_0_G23,52.2
2018,CL_SERIES._L_RW_040101_3,CL_SEX.F,CL_EDUCATION_LEV.ISCED11A_0_G23,56.4
2018,CL_SERIES._L_RW_040101_4,,CL_EDUCATION_LEV.ISCED11A_0_G23,40.7
2018,CL_SERIES._L_RW_040101_4,CL_SEX.M,CL_EDUCATION_LEV.ISCED11A_0_G23,40.3
2018,CL_SERIES._L_RW_040101_4,CL_SEX.F,CL_EDUCATION_LEV.ISCED11A_0_G23,41.3
2014,CL_SERIES._L_RW_040101_5,,CL_EDUCATION_LEV.ISCED11_1,44.1
2014,CL_SERIES._L_RW_040101_6,,CL_EDUCATION_LEV.ISCED11_1,38.3
