Year,SERIES,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,_L_RW_040501_1,,,,ISCED11_1,IX,,1.0
2024,_L_RW_040501_1,,,,ISCED11_1,IX,,1.0
2017,_L_RW_040501_1,,,U,ISCED11_1,IX,,1.0
2024,_L_RW_040501_1,,,U,ISCED11_1,IX,,1.0
2017,_L_RW_040501_1,,,R,ISCED11_1,IX,,1.0
2024,_L_RW_040501_1,,,R,ISCED11_1,IX,,1.0
2017,_L_RW_040501_2,,,,ISCED11_1,IX,,1.0
2024,_L_RW_040501_2,,,,ISCED11_1,IX,,1.0
2017,_L_RW_040501_2,,,U,ISCED11_1,IX,,0.9
2024,_L_RW_040501_2,,,U,ISCED11_1,IX,,1.0
2017,_L_RW_040501_2,,,R,ISCED11_1,IX,,1.0
2024,_L_RW_040501_2,,,R,ISCED11_1,IX,,1.0
2017,_L_RW_040501_3,,,,ISCED11_1,IX,,0.9
2024,_L_RW_040501_3,,,,ISCED11_1,IX,,0.8
2017,_L_RW_040501_3,,,U,ISCED11_1,IX,,1.0
2024,_L_RW_040501_3,,,U,ISCED11_1,IX,,0.8
2017,_L_RW_040501_3,,,R,ISCED11_1,IX,,0.9
2024,_L_RW_040501_3,,,R,ISCED11_1,IX,,0.7
2017,_L_RW_040501_4,,,,ISCED11_1,IX,,1.1
2024,_L_RW_040501_4,,,,ISCED11_1,IX,,1.1
2017,_L_RW_040501_4,,,U,ISCED11_1,IX,,1.0
2024,_L_RW_040501_4,,,U,ISCED11_1,IX,,1.1
2017,_L_RW_040501_4,,,R,ISCED11_1,IX,,1.1
2024,_L_RW_040501_4,,,R,ISCED11_1,IX,,1.1
2017,_L_RW_040501_5,,,,AGG_2_3,IX,,1.2
2024,_L_RW_040501_5,,,,AGG_2_3,IX,,1.3
2017,_L_RW_040501_5,,,U,AGG_2_3,IX,,1.0
2024,_L_RW_040501_5,,,U,AGG_2_3,IX,,1.1
2017,_L_RW_040501_5,,,R,AGG_2_3,IX,,1.2
2024,_L_RW_040501_5,,,R,AGG_2_3,IX,,1.4
2017,_L_RW_040501_6,,,,AGG_2_3,IX,,1.1
2024,_L_RW_040501_6,,,,AGG_2_3,IX,,1.2
2017,_L_RW_040501_6,,,U,AGG_2_3,IX,,0.8
2024,_L_RW_040501_6,,,U,AGG_2_3,IX,,1.1
2017,_L_RW_040501_6,,,R,AGG_2_3,IX,,1.2
2024,_L_RW_040501_6,,,R,AGG_2_3,IX,,1.3
2017,_L_RW_040501_7,,,,AGG_2_3,IX,,1.3
2024,_L_RW_040501_7,,,,AGG_2_3,IX,,1.4
2017,_L_RW_040501_7,,,U,AGG_2_3,IX,,1.7
2024,_L_RW_040501_7,,,U,AGG_2_3,IX,,1.2
2017,_L_RW_040501_7,,,R,AGG_2_3,IX,,1.2
2024,_L_RW_040501_7,,,R,AGG_2_3,IX,,1.4
2017,_L_RW_040501_8,,,,AGG_2_3,IX,,1.0
2024,_L_RW_040501_8,,,,AGG_2_3,IX,,1.0
2017,_L_RW_040501_8,,,U,AGG_2_3,IX,,0.9
2024,_L_RW_040501_8,,,U,AGG_2_3,IX,,1.0
2017,_L_RW_040501_8,,,R,AGG_2_3,IX,,1.0
2024,_L_RW_040501_8,,,R,AGG_2_3,IX,,1.0
2017,SE_GPI_PART,,Y_GE15,,,IX,,0.9
2024,SE_GPI_PART,,Y_GE15,,,IX,,0.9
2017,SE_GPI_PART,,Y_GE15,U,,IX,,0.9
2024,SE_GPI_PART,,Y_GE15,U,,IX,,1.0
2017,SE_GPI_PART,,Y_GE15,R,,IX,,0.9
2024,SE_GPI_PART,,Y_GE15,R,,IX,,0.9
2017,SE_GPI_PART,,Y15T24,,,IX,,1.1
2024,SE_GPI_PART,,Y15T24,,,IX,,1.1
2017,SE_GPI_PART,,Y15T24,U,,IX,,1.0
2024,SE_GPI_PART,,Y15T24,U,,IX,,1.0
2017,SE_GPI_PART,,Y15T24,R,,IX,,1.1
2024,SE_GPI_PART,,Y15T24,R,,IX,,1.1
2017,SE_GPI_PART,,Y_GE6,,,IX,,1.0
2024,SE_GPI_PART,,Y_GE6,,,IX,,1.0
2017,SE_GPI_PART,,Y_GE6,U,,IX,,1.0
2024,SE_GPI_PART,,Y_GE6,U,,IX,,1.0
2017,SE_GPI_PART,,Y_GE6,R,,IX,,1.0
2024,SE_GPI_PART,,Y_GE6,R,,IX,,1.0
2017,SE_GPI_PART,,,,,IX,,2.2
2017,SE_GPI_PART,,,U,,IX,,0.1
2017,SE_GPI_PART,,,R,,IX,,2.7
