Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2005,SE_ADT_LITR,,,PT,,65.3
2011,SE_ADT_LITR,,,PT,,69.5
2014,SE_ADT_LITR,,,PT,,72.1
2017,SE_ADT_LITR,,,PT,,73.2
2021,SE_ADT_LITR,,,PT,,72.4
2024,SE_ADT_LITR,,,PT,,75.8
2005,SE_ADT_LITR,,M,PT,,71.5
2011,SE_ADT_LITR,,M,PT,,75.5
2014,SE_ADT_LITR,,M,PT,,77.3
2017,SE_ADT_LITR,,M,PT,,77.6
2021,SE_ADT_LITR,,M,PT,,76.1
2024,SE_ADT_LITR,,M,PT,,78.4
2005,SE_ADT_LITR,,F,PT,,60.1
2011,SE_ADT_LITR,,F,PT,,64.5
2014,SE_ADT_LITR,,F,PT,,67.6
2017,SE_ADT_LITR,,F,PT,,69.4
2021,SE_ADT_LITR,,F,PT,,69.3
2024,SE_ADT_LITR,,F,PT,,73.6
2014,SE_ADT_NUMR,,,PT,,74.1
2017,SE_ADT_NUMR,,,PT,,73.4
2021,SE_ADT_NUMR,,,PT,,73.3
2024,SE_ADT_NUMR,,,PT,,77.6
2014,SE_ADT_NUMR,,M,PT,,79.4
2017,SE_ADT_NUMR,,M,PT,,78.0
2021,SE_ADT_NUMR,,M,PT,,77.3
2024,SE_ADT_NUMR,,M,PT,,80.4
2014,SE_ADT_NUMR,,F,PT,,69.5
2017,SE_ADT_NUMR,,F,PT,,69.4
2021,SE_ADT_NUMR,,F,PT,,69.8
2024,SE_ADT_NUMR,,F,PT,,75.2
