Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,GeoCode,Value
2016,SE_TRA_GRDL,,,ISCED11_02,,52.7
2017,SE_TRA_GRDL,,,ISCED11_02,,41.6
2018,SE_TRA_GRDL,,,ISCED11_02,,45.6
2019,SE_TRA_GRDL,,,ISCED11_02,,49.5
2020,SE_TRA_GRDL,,,ISCED11_02,,43.5
2021,SE_TRA_GRDL,,,ISCED11_02,,52.4
2024,SE_TRA_GRDL,,,ISCED11_02,,52.6
2016,SE_TRA_GRDL,,M,ISCED11_02,,55.7
2017,SE_TRA_GRDL,,M,ISCED11_02,,41.3
2018,SE_TRA_GRDL,,M,ISCED11_02,,45.0
2019,SE_TRA_GRDL,,M,ISCED11_02,,52.0
2020,SE_TRA_GRDL,,M,ISCED11_02,,48.6
2021,SE_TRA_GRDL,,M,ISCED11_02,,49.7
2024,SE_TRA_GRDL,,M,ISCED11_02,,50.2
2016,SE_TRA_GRDL,,F,ISCED11_02,,49.2
2017,SE_TRA_GRDL,,F,ISCED11_02,,41.6
2018,SE_TRA_GRDL,,F,ISCED11_02,,45.7
2019,SE_TRA_GRDL,,F,ISCED11_02,,49.1
2020,SE_TRA_GRDL,,F,ISCED11_02,,42.7
2021,SE_TRA_GRDL,,F,ISCED11_02,,53.2
2024,SE_TRA_GRDL,,F,ISCED11_02,,53.1
2016,SE_TRA_GRDL,,,ISCED11_1,,92.5
2017,SE_TRA_GRDL,,,ISCED11_1,,93.3
2018,SE_TRA_GRDL,,,ISCED11_1,,94.4
2019,SE_TRA_GRDL,,,ISCED11_1,,95.1
2020,SE_TRA_GRDL,,,ISCED11_1,,76.1
2021,SE_TRA_GRDL,,,ISCED11_1,,76.1
2024,SE_TRA_GRDL,,,ISCED11_1,,67.6
2016,SE_TRA_GRDL,,M,ISCED11_1,,91.6
2017,SE_TRA_GRDL,,M,ISCED11_1,,92.0
2018,SE_TRA_GRDL,,M,ISCED11_1,,93.3
2019,SE_TRA_GRDL,,M,ISCED11_1,,94.1
2020,SE_TRA_GRDL,,M,ISCED11_1,,74.9
2021,SE_TRA_GRDL,,M,ISCED11_1,,74.9
2024,SE_TRA_GRDL,,M,ISCED11_1,,50.0
2016,SE_TRA_GRDL,,F,ISCED11_1,,93.3
2017,SE_TRA_GRDL,,F,ISCED11_1,,94.4
2018,SE_TRA_GRDL,,F,ISCED11_1,,95.3
2019,SE_TRA_GRDL,,F,ISCED11_1,,95.9
2020,SE_TRA_GRDL,,F,ISCED11_1,,77.0
2021,SE_TRA_GRDL,,F,ISCED11_1,,76.9
2024,SE_TRA_GRDL,,F,ISCED11_1,,69.3
2016,SE_TRA_GRDL,,,AGG_2_3,,53.3
2017,SE_TRA_GRDL,,,AGG_2_3,,64.5
2018,SE_TRA_GRDL,,,AGG_2_3,,67.7
2019,SE_TRA_GRDL,,,AGG_2_3,,72.3
2020,SE_TRA_GRDL,,,AGG_2_3,,87.1
2021,SE_TRA_GRDL,,,AGG_2_3,,85.4
2024,SE_TRA_GRDL,,,AGG_2_3,,78.0
2016,SE_TRA_GRDL,,M,AGG_2_3,,55.3
2017,SE_TRA_GRDL,,M,AGG_2_3,,64.4
2018,SE_TRA_GRDL,,M,AGG_2_3,,67.5
2019,SE_TRA_GRDL,,M,AGG_2_3,,72.2
2020,SE_TRA_GRDL,,M,AGG_2_3,,86.3
2021,SE_TRA_GRDL,,M,AGG_2_3,,85.0
2024,SE_TRA_GRDL,,M,AGG_2_3,,76.6
2016,SE_TRA_GRDL,,F,AGG_2_3,,48.9
2017,SE_TRA_GRDL,,F,AGG_2_3,,64.8
2018,SE_TRA_GRDL,,F,AGG_2_3,,68.2
2019,SE_TRA_GRDL,,F,AGG_2_3,,72.7
2020,SE_TRA_GRDL,,F,AGG_2_3,,88.6
2021,SE_TRA_GRDL,,F,AGG_2_3,,86.3
2024,SE_TRA_GRDL,,F,AGG_2_3,,80.6
