Year,SERIES,REF_AREA,SEX,GeoCode,Value
2017,SL_DOM_TSPDCW,,,,21.4
2018,SL_DOM_TSPDCW,,,,20.6
2019,SL_DOM_TSPDCW,,,,17.9
2021,SL_DOM_TSPDCW,,,,17.9
2022,SL_DOM_TSPDCW,,,,17.3
2023,SL_DOM_TSPDCW,,,,19.5
2024,SL_DOM_TSPDCW,,,,17.7
2017,SL_DOM_TSPDCW,,M,,14.6
2018,SL_DOM_TSPDCW,,M,,13.5
2019,SL_DOM_TSPDCW,,M,,12.1
2021,SL_DOM_TSPDCW,,M,,12.3
2022,SL_DOM_TSPDCW,,M,,11.9
2023,SL_DOM_TSPDCW,,M,,13.6
2024,SL_DOM_TSPDCW,,M,,12.6
2017,SL_DOM_TSPDCW,,F,,26.0
2018,SL_DOM_TSPDCW,,F,,25.3
2019,SL_DOM_TSPDCW,,F,,22.3
2021,SL_DOM_TSPDCW,,F,,21.8
2022,SL_DOM_TSPDCW,,F,,21.1
2023,SL_DOM_TSPDCW,,F,,24.0
2024,SL_DOM_TSPDCW,,F,,23.1
