Year,SERIES,REF_AREA,OCCUPATION,UNIT_MEASURE,GeoCode,Value
2017,SL_EMP_EARN,,ISCO08_1,NUMBER,,2365.2
2018,SL_EMP_EARN,,ISCO08_1,NUMBER,,2531.1
2019,SL_EMP_EARN,,ISCO08_1,NUMBER,,2285.5
2020,SL_EMP_EARN,,ISCO08_1,NUMBER,,2519.0
2021,SL_EMP_EARN,,ISCO08_1,NUMBER,,2346.0
2022,SL_EMP_EARN,,ISCO08_1,NUMBER,,2337.5
2023,SL_EMP_EARN,,ISCO08_1,NUMBER,,3496.3
2017,SL_EMP_EARN,,ISCO08_2,NUMBER,,973.5
2018,SL_EMP_EARN,,ISCO08_2,NUMBER,,982.1
2019,SL_EMP_EARN,,ISCO08_2,NUMBER,,982.0
2020,SL_EMP_EARN,,ISCO08_2,NUMBER,,1175.5
2021,SL_EMP_EARN,,ISCO08_2,NUMBER,,960.2
2022,SL_EMP_EARN,,ISCO08_2,NUMBER,,1097.4
2023,SL_EMP_EARN,,ISCO08_2,NUMBER,,1226.4
2017,SL_EMP_EARN,,ISCO08_3,NUMBER,,1517.1
2018,SL_EMP_EARN,,ISCO08_3,NUMBER,,1290.7
2019,SL_EMP_EARN,,ISCO08_3,NUMBER,,1389.9
2020,SL_EMP_EARN,,ISCO08_3,NUMBER,,1653.7
2021,SL_EMP_EARN,,ISCO08_3,NUMBER,,1469.3
2022,SL_EMP_EARN,,ISCO08_3,NUMBER,,1288.9
2023,SL_EMP_EARN,,ISCO08_3,NUMBER,,1725.8
2017,SL_EMP_EARN,,ISCO08_4,NUMBER,,941.3
2018,SL_EMP_EARN,,ISCO08_4,NUMBER,,935.8
2019,SL_EMP_EARN,,ISCO08_4,NUMBER,,890.3
2020,SL_EMP_EARN,,ISCO08_4,NUMBER,,923.9
2021,SL_EMP_EARN,,ISCO08_4,NUMBER,,855.1
2022,SL_EMP_EARN,,ISCO08_4,NUMBER,,949.2
2023,SL_EMP_EARN,,ISCO08_4,NUMBER,,968.8
2017,SL_EMP_EARN,,ISCO08_5,NUMBER,,366.9
2018,SL_EMP_EARN,,ISCO08_5,NUMBER,,325.3
2019,SL_EMP_EARN,,ISCO08_5,NUMBER,,339.6
2020,SL_EMP_EARN,,ISCO08_5,NUMBER,,372.2
2021,SL_EMP_EARN,,ISCO08_5,NUMBER,,399.9
2022,SL_EMP_EARN,,ISCO08_5,NUMBER,,429.7
2023,SL_EMP_EARN,,ISCO08_5,NUMBER,,421.9
2017,SL_EMP_EARN,,ISCO08_6,NUMBER,,297.5
2018,SL_EMP_EARN,,ISCO08_6,NUMBER,,206.0
2019,SL_EMP_EARN,,ISCO08_6,NUMBER,,293.8
2020,SL_EMP_EARN,,ISCO08_6,NUMBER,,733.2
2021,SL_EMP_EARN,,ISCO08_6,NUMBER,,289.0
2022,SL_EMP_EARN,,ISCO08_6,NUMBER,,353.0
2023,SL_EMP_EARN,,ISCO08_6,NUMBER,,342.5
2017,SL_EMP_EARN,,ISCO08_7,NUMBER,,524.3
2018,SL_EMP_EARN,,ISCO08_7,NUMBER,,497.2
2019,SL_EMP_EARN,,ISCO08_7,NUMBER,,546.0
2020,SL_EMP_EARN,,ISCO08_7,NUMBER,,524.8
2021,SL_EMP_EARN,,ISCO08_7,NUMBER,,629.2
2022,SL_EMP_EARN,,ISCO08_7,NUMBER,,656.1
2023,SL_EMP_EARN,,ISCO08_7,NUMBER,,755.9
2017,SL_EMP_EARN,,ISCO08_8,NUMBER,,543.8
2018,SL_EMP_EARN,,ISCO08_8,NUMBER,,590.8
2019,SL_EMP_EARN,,ISCO08_8,NUMBER,,598.9
2020,SL_EMP_EARN,,ISCO08_8,NUMBER,,558.7
2021,SL_EMP_EARN,,ISCO08_8,NUMBER,,622.4
2022,SL_EMP_EARN,,ISCO08_8,NUMBER,,769.5
2023,SL_EMP_EARN,,ISCO08_8,NUMBER,,780.9
2017,SL_EMP_EARN,,ISCO08_9,NUMBER,,162.3
2018,SL_EMP_EARN,,ISCO08_9,NUMBER,,163.1
2019,SL_EMP_EARN,,ISCO08_9,NUMBER,,165.6
2020,SL_EMP_EARN,,ISCO08_9,NUMBER,,195.8
2021,SL_EMP_EARN,,ISCO08_9,NUMBER,,196.0
2022,SL_EMP_EARN,,ISCO08_9,NUMBER,,211.9
2023,SL_EMP_EARN,,ISCO08_9,NUMBER,,252.5
