Year,Value,Units,Series
2017,6.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_1
2018,6.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_1
2017,484435.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_RW_010301_2
2018,560769.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_RW_010301_2
2017,376836.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_RW_010301_3
2018,432450.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_RW_010301_3
2017,84.2,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_4
2018,83.3,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_4
2017,70.0,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_5
2018,73.9,CL_UNIT_MEASURE.PT,CL_SERIES._L_RW_010301_5
2018,164601.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_RW_010301_6
