Year,Value,GeoCode,UNIT_MEASURE,SERIES
2006,31.8,,PT,SG_XPD_ESSRV
2007,30.3,,PT,SG_XPD_ESSRV
2008,27.4,,PT,SG_XPD_ESSRV
2009,27.0,,PT,SG_XPD_ESSRV
2010,31.2,,PT,SG_XPD_ESSRV
2011,29.9,,PT,SG_XPD_ESSRV
2012,29.2,,PT,SG_XPD_ESSRV
2013,27.2,,PT,SG_XPD_ESSRV
2014,27.5,,PT,SG_XPD_ESSRV
2015,28.0,,PT,SG_XPD_ESSRV
2016,27.6,,PT,SG_XPD_ESSRV
2017,25.2,,PT,SG_XPD_ESSRV
2018,25.0,,PT,SG_XPD_ESSRV
2019,25.2,,PT,SG_XPD_ESSRV
2020,23.4,,PT,SG_XPD_ESSRV
2021,27.2,,PT,SG_XPD_ESSRV
2022,24.2,,PT,SG_XPD_ESSRV
2023,26.0,,PT,SG_XPD_ESSRV
2024,26.6,,PT,SG_XPD_ESSRV
2025,24.8,,PT,SG_XPD_ESSRV
2026,22.6,,PT,SG_XPD_ESSRV
2006,8.8,,PT,SG_XPD_HLTH
2007,9.1,,PT,SG_XPD_HLTH
2008,9.6,,PT,SG_XPD_HLTH
2009,9.7,,PT,SG_XPD_HLTH
2010,9.6,,PT,SG_XPD_HLTH
2011,9.9,,PT,SG_XPD_HLTH
2012,10.7,,PT,SG_XPD_HLTH
2013,10.8,,PT,SG_XPD_HLTH
2014,9.2,,PT,SG_XPD_HLTH
2015,11.4,,PT,SG_XPD_HLTH
2016,11.3,,PT,SG_XPD_HLTH
2017,9.7,,PT,SG_XPD_HLTH
2018,9.3,,PT,SG_XPD_HLTH
2019,9.0,,PT,SG_XPD_HLTH
2020,8.1,,PT,SG_XPD_HLTH
2021,8.1,,PT,SG_XPD_HLTH
2022,9.8,,PT,SG_XPD_HLTH
2023,7.5,,PT,SG_XPD_HLTH
2024,7.0,,PT,SG_XPD_HLTH
2025,7.1,,PT,SG_XPD_HLTH
2026,6.8,,PT,SG_XPD_HLTH
2006,5.1,,PT,SG_XPD_PROT
2007,2.8,,PT,SG_XPD_PROT
2008,2.5,,PT,SG_XPD_PROT
2009,2.9,,PT,SG_XPD_PROT
2010,4.3,,PT,SG_XPD_PROT
2011,4.1,,PT,SG_XPD_PROT
2012,2.5,,PT,SG_XPD_PROT
2013,3.0,,PT,SG_XPD_PROT
2014,4.4,,PT,SG_XPD_PROT
2015,4.4,,PT,SG_XPD_PROT
2016,4.1,,PT,SG_XPD_PROT
2017,4.2,,PT,SG_XPD_PROT
2018,4.3,,PT,SG_XPD_PROT
2019,5.5,,PT,SG_XPD_PROT
2020,4.9,,PT,SG_XPD_PROT
2021,5.0,,PT,SG_XPD_PROT
2022,3.7,,PT,SG_XPD_PROT
2023,4.5,,PT,SG_XPD_PROT
2024,4.7,,PT,SG_XPD_PROT
2025,4.0,,PT,SG_XPD_PROT
2026,3.6,,PT,SG_XPD_PROT
2006,17.9,,PT,SD_XPD_EDUC
2007,18.4,,PT,SD_XPD_EDUC
2008,15.3,,PT,SD_XPD_EDUC
2009,14.4,,PT,SD_XPD_EDUC
2010,17.2,,PT,SD_XPD_EDUC
2011,15.8,,PT,SD_XPD_EDUC
2012,16.0,,PT,SD_XPD_EDUC
2013,13.4,,PT,SD_XPD_EDUC
2014,14.0,,PT,SD_XPD_EDUC
2015,12.2,,PT,SD_XPD_EDUC
2016,12.2,,PT,SD_XPD_EDUC
2017,11.3,,PT,SD_XPD_EDUC
2018,11.4,,PT,SD_XPD_EDUC
2019,10.8,,PT,SD_XPD_EDUC
2020,10.4,,PT,SD_XPD_EDUC
2021,14.0,,PT,SD_XPD_EDUC
2022,10.7,,PT,SD_XPD_EDUC
2023,14.0,,PT,SD_XPD_EDUC
2024,14.9,,PT,SD_XPD_EDUC
2025,13.7,,PT,SD_XPD_EDUC
2026,12.2,,PT,SD_XPD_EDUC
