Year,Value,Series
2000,1,CL_SERIES.SG_REG_CENSUSN
2001,1,CL_SERIES.SG_REG_CENSUSN
2002,1,CL_SERIES.SG_REG_CENSUSN
2003,1,CL_SERIES.SG_REG_CENSUSN
2004,1,CL_SERIES.SG_REG_CENSUSN
2005,1,CL_SERIES.SG_REG_CENSUSN
2006,1,CL_SERIES.SG_REG_CENSUSN
2007,1,CL_SERIES.SG_REG_CENSUSN
2008,1,CL_SERIES.SG_REG_CENSUSN
2009,1,CL_SERIES.SG_REG_CENSUSN
2010,1,CL_SERIES.SG_REG_CENSUSN
2011,1,CL_SERIES.SG_REG_CENSUSN
2012,1,CL_SERIES.SG_REG_CENSUSN
2013,1,CL_SERIES.SG_REG_CENSUSN
2014,1,CL_SERIES.SG_REG_CENSUSN
2015,1,CL_SERIES.SG_REG_CENSUSN
2016,1,CL_SERIES.SG_REG_CENSUSN
2017,1,CL_SERIES.SG_REG_CENSUSN
2018,1,CL_SERIES.SG_REG_CENSUSN
2019,1,CL_SERIES.SG_REG_CENSUSN
2020,1,CL_SERIES.SG_REG_CENSUSN
2000,0,CL_SERIES.SG_REG_BRTH90N
2001,0,CL_SERIES.SG_REG_BRTH90N
2002,0,CL_SERIES.SG_REG_BRTH90N
2003,0,CL_SERIES.SG_REG_BRTH90N
2004,0,CL_SERIES.SG_REG_BRTH90N
2005,0,CL_SERIES.SG_REG_BRTH90N
2006,0,CL_SERIES.SG_REG_BRTH90N
2007,0,CL_SERIES.SG_REG_BRTH90N
2008,0,CL_SERIES.SG_REG_BRTH90N
2009,0,CL_SERIES.SG_REG_BRTH90N
2010,0,CL_SERIES.SG_REG_BRTH90N
2011,0,CL_SERIES.SG_REG_BRTH90N
2012,0,CL_SERIES.SG_REG_BRTH90N
2013,0,CL_SERIES.SG_REG_BRTH90N
2014,0,CL_SERIES.SG_REG_BRTH90N
2015,0,CL_SERIES.SG_REG_BRTH90N
2016,0,CL_SERIES.SG_REG_BRTH90N
2017,0,CL_SERIES.SG_REG_BRTH90N
2018,0,CL_SERIES.SG_REG_BRTH90N
2019,0,CL_SERIES.SG_REG_BRTH90N
2000,0,CL_SERIES.SG_REG_DETH75N
2001,0,CL_SERIES.SG_REG_DETH75N
2002,0,CL_SERIES.SG_REG_DETH75N
2003,0,CL_SERIES.SG_REG_DETH75N
2004,0,CL_SERIES.SG_REG_DETH75N
2005,0,CL_SERIES.SG_REG_DETH75N
2006,0,CL_SERIES.SG_REG_DETH75N
2007,0,CL_SERIES.SG_REG_DETH75N
2008,0,CL_SERIES.SG_REG_DETH75N
2009,0,CL_SERIES.SG_REG_DETH75N
2010,0,CL_SERIES.SG_REG_DETH75N
2011,0,CL_SERIES.SG_REG_DETH75N
2012,0,CL_SERIES.SG_REG_DETH75N
2013,0,CL_SERIES.SG_REG_DETH75N
2014,0,CL_SERIES.SG_REG_DETH75N
2015,0,CL_SERIES.SG_REG_DETH75N
2016,0,CL_SERIES.SG_REG_DETH75N
2017,0,CL_SERIES.SG_REG_DETH75N
2018,0,CL_SERIES.SG_REG_DETH75N
2019,0,CL_SERIES.SG_REG_DETH75N
