Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,56.4,,PT,_L_RW_050501_1
2016,64.0,,PT,_L_RW_050501_1
2018,61.0,,PT,_L_RW_050501_1
2019,61.3,,PT,_L_RW_050501_1
2020,61.3,,PT,_L_RW_050501_1
2021,61.3,,PT,_L_RW_050501_1
2022,61.3,,PT,_L_RW_050501_1
2023,61.0,,PT,_L_RW_050501_1
2024,63.8,,PT,_L_RW_050501_1
2014,38.5,,PT,_L_RW_050501_2
2016,38.0,,PT,_L_RW_050501_2
2018,38.0,,PT,_L_RW_050501_2
2019,38.0,,PT,_L_RW_050501_2
2020,38.0,,PT,_L_RW_050501_2
2021,38.0,,PT,_L_RW_050501_2
2022,38.0,,PT,_L_RW_050501_2
2023,38.0,,PT,_L_RW_050501_2
2024,53.8,,PT,_L_RW_050501_2
2014,25.0,,PT,_L_RW_050501_3
2016,40.0,,PT,_L_RW_050501_3
2018,40.0,,PT,_L_RW_050501_3
2014,6.6,,PT,_L_RW_050501_4
2016,16.7,,PT,_L_RW_050501_4
2018,30.0,,PT,_L_RW_050501_4
2021,29.6,,PT,_L_RW_050501_4
2016,20.0,,PT,_L_RW_050501_5
2018,16.7,,PT,_L_RW_050501_5
2016,76.7,,PT,_L_RW_050501_6
2018,66.7,,PT,_L_RW_050501_6
2014,44.8,,PT,_L_RW_050501_7
2016,45.2,,PT,_L_RW_050501_7
2018,45.2,,PT,_L_RW_050501_7
2021,63.0,,PT,_L_RW_050501_7
2016,42.5,,PT,_L_RW_050501_8
2018,42.7,,PT,_L_RW_050501_8
2016,34.5,,PT,_L_RW_050501_9
2018,41.6,,PT,_L_RW_050501_9
2014,6.7,,PT,_L_RW_050501_10
2016,7.0,,PT,_L_RW_050501_10
2018,10.0,,PT,_L_RW_050501_10
2014,9.1,,PT,_L_RW_050501_11
2016,11.0,,PT,_L_RW_050501_11
2018,17.0,,PT,_L_RW_050501_11
2014,37.7,,PT,_L_RW_050501_12
2016,35.0,,PT,_L_RW_050501_12
2018,36.0,,PT,_L_RW_050501_12
