Year,Value,GeoCode,SERIES
2000,12,,NV_IND_MANF
2001,11,,NV_IND_MANF
2002,12,,NV_IND_MANF
2003,10,,NV_IND_MANF
2004,10,,NV_IND_MANF
2005,10,,NV_IND_MANF
2006,9,,NV_IND_MANF
2007,8,,NV_IND_MANF
2008,8,,NV_IND_MANF
2009,8,,NV_IND_MANF
2010,8,,NV_IND_MANF
2011,8,,NV_IND_MANF
2012,8,,NV_IND_MANF
2013,7,,NV_IND_MANF
2014,7,,NV_IND_MANF
2015,7,,NV_IND_MANF
2016,7,,NV_IND_MANF
2017,8,,NV_IND_MANF
2018,8,,NV_IND_MANF
2019,8,,NV_IND_MANF
2020,9,,NV_IND_MANF
2021,9,,NV_IND_MANF
2022,10,,NV_IND_MANF
2023,10,,NV_IND_MANF
