Year,Value,GeoCode,UNIT_MEASURE,SERIES
2009,82.0,,PT,IT_MOB_2GNTWK
2010,95.6,,PT,IT_MOB_2GNTWK
2011,97.3,,PT,IT_MOB_2GNTWK
2012,98.4,,PT,IT_MOB_2GNTWK
2013,99.8,,PT,IT_MOB_2GNTWK
2014,99.9,,PT,IT_MOB_2GNTWK
2015,99.9,,PT,IT_MOB_2GNTWK
2016,99.9,,PT,IT_MOB_2GNTWK
2017,99.9,,PT,IT_MOB_2GNTWK
2018,99.9,,PT,IT_MOB_2GNTWK
2019,99.9,,PT,IT_MOB_2GNTWK
2020,99.9,,PT,IT_MOB_2GNTWK
2021,98.6,,PT,IT_MOB_2GNTWK
2022,98.7,,PT,IT_MOB_2GNTWK
2023,99.1,,PT,IT_MOB_2GNTWK
2013,98.7,,PT,IT_MOB_3GNTWK
2014,72.1,,PT,IT_MOB_3GNTWK
2015,88.0,,PT,IT_MOB_3GNTWK
2016,91.9,,PT,IT_MOB_3GNTWK
2017,93.1,,PT,IT_MOB_3GNTWK
2018,93.4,,PT,IT_MOB_3GNTWK
2019,97.4,,PT,IT_MOB_3GNTWK
2020,96.0,,PT,IT_MOB_3GNTWK
2021,98.6,,PT,IT_MOB_3GNTWK
2022,98.7,,PT,IT_MOB_3GNTWK
2023,99.1,,PT,IT_MOB_3GNTWK
2016,29.0,,PT,IT_MOB_4GNTWK
2017,64.3,,PT,IT_MOB_4GNTWK
2018,96.6,,PT,IT_MOB_4GNTWK
2019,98.9,,PT,IT_MOB_4GNTWK
2020,98.1,,PT,IT_MOB_4GNTWK
2021,98.07,,PT,IT_MOB_4GNTWK
2022,98.8,,PT,IT_MOB_4GNTWK
2023,98.76,,PT,IT_MOB_4GNTWK
