Value,Disaggregation combinations using this value,Number of indicators
CL_COMP_BREAKDOWN.IHR_01,1,1
CL_COMP_BREAKDOWN.IHR_02,1,1
CL_COMP_BREAKDOWN.IHR_03,1,1
CL_COMP_BREAKDOWN.IHR_04,1,1
CL_COMP_BREAKDOWN.IHR_05,1,1
CL_COMP_BREAKDOWN.IHR_06,1,1
CL_COMP_BREAKDOWN.IHR_07,1,1
CL_COMP_BREAKDOWN.IHR_08,1,1
CL_COMP_BREAKDOWN.IHR_09,1,1
CL_COMP_BREAKDOWN.IHR_10,1,1
CL_COMP_BREAKDOWN.IHR_11,1,1
CL_COMP_BREAKDOWN.IHR_12,1,1
CL_COMP_BREAKDOWN.IHR_13,1,1
CL_COMP_BREAKDOWN.SKILL_ICTATCH,3,1
CL_COMP_BREAKDOWN.SKILL_ICTCDV,3,1
CL_COMP_BREAKDOWN.SKILL_ICTCMFL,3,1
CL_COMP_BREAKDOWN.SKILL_ICTCPT,3,1
CL_COMP_BREAKDOWN.SKILL_ICTPRGM,3,1
CL_COMP_BREAKDOWN.SKILL_ICTPST,3,1
CL_COMP_BREAKDOWN.SKILL_ICTSFWR,3,1
CL_COMP_BREAKDOWN.SKILL_ICTSSHT,3,1
CL_COMP_BREAKDOWN.SKILL_ICTTRFF,3,1
