Value,Disaggregation combinations using this value,Number of indicators
City of Kigali,4,4
Nyarugenge,1,1
Gasabo,1,1
Kicukiro,1,1
Southern Province,4,4
Nyanza,1,1
Gisagara,1,1
Nyaruguru,1,1
Huye,1,1
Nyamagabe,1,1
Ruhango,1,1
Muhanga,1,1
Kamonyi,1,1
Western Province,4,4
Karongi,1,1
Rutsiro,1,1
Rubavu,1,1
Nyabihu,1,1
Ngororero,1,1
Rusizi,1,1
Nyamasheke,1,1
Northern Province,4,4
Rulindo,1,1
Gakenke,1,1
Musanze,1,1
Burera,1,1
Gicumbi,1,1
Eastern Province,4,4
Rwamagana,1,1
Nyagatare,1,1
Gatsibo,1,1
Kayonza,1,1
Kirehe,1,1
Ngoma,1,1
Bugesera,1,1
Rwanda,16,4
