Value,Disaggregation combinations using this value,Number of indicators
"Annual disaster effects situation report , MINEMA",30,3
BLJSR 2019/20,3,1
"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",4,1
"BNR, Annual Financial Stability Report",7,1
"BNR, Annual Report",2,1
BNR,2,2
Census 2022,1,1
"CFSVA, NISR, MINAGRI",2,1
"DHS, NISR",53,14
"DHS, RBC",2,1
"DHS , RPHC5, NISR",3,1
DHS,7,1
DHS/STEPS/Census/HMIS,1,1
Disaster Communication System/MINEMA Assessment,4,2
"EICV and Census MPI Report, NISR",8,1
"EICV and RPHC5 2022, NISR",1,1
EICV and RPHC5/2022,3,1
"EICV, NISR",112,6
HMIS (Health sector annual report 2020/21),1,1
"HMIS, Rwanda Biomedical Centre (RBC), MoH Annual performance report  2022 (Malaria report
)",1,1
ILO - Calculations based on information from ILO textual sources,1,1
ILO - Modelled Estimates,1,1
In land water assessment report,1,1
"JSR,
Environment, 2021/2022",1,1
"LFS, NISR",26,10
MINAGRI (Rwanda National Gene Bank-RNGB),3,1
MINALOC,1,1
"MINECOFIN, Budget Finance Law",1,1
MINECOFIN,5,5
"MINEDUC, Education Admin data, 2023",3,1
"MINEDUC MIS/
Education Admin data, 2023",3,1
"MINEDUC, Statistical Yearbook 2022",25,2
MINEDUC,6,1
"MINIJUST, JRLOS",2,1
MINIJUST,5,1
MININFRA,3,1
Ministry in Charge of Emergency Management (MINEMA),3,3
Ministry of Finance and Economic Planning (MINECOFIN),4,2
Ministry of Health,4,1
Ministry of Infrastructure (MININFRA),2,2
MoE,31,1
"MoH, Steps Survey",1,1
"National Accounts, NISR",3,3
National Council for Science and Technology,1,1
"National Electoral Commission (NEC), GMO",12,1
"NISR, DHS 2019/20 and Census 2022",5,1
"NISR, Food Balance Sheets (FBS)",1,1
"NISR, SDG Platfoarm",1,1
"NISR, Statistical Yearbook",2,1
"NISR,DHS2019/2020",1,1
"NISR,DHS2019/2021",1,1
"NISR,DHS2019/2022",1,1
"NISR,DHS2019/2023",1,1
"NISR,DHS2019/2024",1,1
"NISR,DHS2019/2025",1,1
"NISR,DHS2019/2026",1,1
"NISR,DHS2019/2027",1,1
"NISR,DHS2019/2028",1,1
"NISR,DHS2019/2029",1,1
"NISR,DHS2019/2030",1,1
"NISR,DHS2019/2031",1,1
"NISR,DHS2019/2032",1,1
 PARIS21,1,1
"Price Statistics, NISR",1,1
"RBC , NTD report",1,1
"RBC, (WHO Global TB Report 2017), Health sector FY 2021/2022 backward looking joint sector review report",1,1
RDB,2,2
RDHC nad RPHC5/2022,4,2
"RDHS, 2014/15 and 2019/20, Census 2022",3,1
"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",10,1
RIB,2,1
RLMUA,3,1
RSSB,6,1
RURA,2,1
"Rwanda Governance Score Card, RGB",10,9
"Rwanda Land Dashboard, 2023",4,1
"Rwanda Population- Based HIV Impact Assessment (RPHIA 2013-
14 )
RPHIA 2018-19",1,1
"RWB, REMA, RFA",1,1
RWB,5,5
RWFA,1,1
"Statistics report for
telecom, media and
postal services, RURA",3,1
"Study on road and
public transport
accessibility in Rwanda
(MININFRA)",1,1
"UNSD, Global SDG database",3,3
"WHO, International Health Regulations (2005) Monitoring Framework Country Profiles",13,1
World Bank,1,1
